URL1,URL2,Title1,Title2,Published_Date1,Published_Date2,Paragraph1_of_URL1,Paragraph1_of_URL2,Paragraph2_of_URL1,Paragraph2_of_URL2,Category1,Category2
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16024/,"If your intention is pure, the universe becomes your co-author", President Paudel to return home this afternoon,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a","President Ramchandra Paudel is returning home this afternoon after participating in the Second World Summit for Social Development held in Doha, the capital of Qatar. During the visit, President Paudel addressed the main session of the Summit last Tuesday.",", animal advocate, and author of ‘","He also addressed the high-level roundtable conference on strengthening the three pillars of social development: poverty eradication, full and productive employment and decent work for all, and social inclusion organized during the summit.",national,politics
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16029/,"If your intention is pure, the universe becomes your co-author", President Paudel returns home wrapping up his Qatar visit,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a","President Ramchandra Paudel has returned home after participating in the Second World Summit for Social Development held in Doha, the capital of Qatar.",", animal advocate, and author of ‘","Vice President Ram Sahaya Prasad Yadav, Prime Minister Sushila Karki, Home Minister Om Prakash Aryal, Qatari Ambassador to Nepal, Foreign Secretary Amrit Bahadur Rai and the chiefs of security agencies welcomed President Paudel at the Tribhuvan International Airport (TIA). A squad of Nepali Army offered a guard of honor to the President on the occasion.",national,politics
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16030/,"If your intention is pure, the universe becomes your co-author", Nepali Ambassador Chandra Kumar Ghimire resigns,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a","The Nepali Ambassador to the United Kingdom (UK), Chandra Kumar Ghimire, has resigned from his post after the government instructed ambassadors from 11 countries to return home.",", animal advocate, and author of ‘","Taking to Facebook on Wednesday, Ambassador Ghimire bade adieu to the UK and expressed gratitude for the respect shown to him during his tenure.",national,politics
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16031/,"If your intention is pure, the universe becomes your co-author", NC's disgruntled leaders demand CC dissolved if no convention by mid-December,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a","The Nepali Congress leaders, who are dissatisfied with the difference on rise over the conduct of general convention of the party, have demanded dissolution of the central working committee (CWC) if the convention is not held before coming mid-December.",", animal advocate, and author of ‘","In a pressure campaign launched by the district presidents of NC, the speakers argued all office bearers in the central committee and central members need to quit once the general convention is not possible as per party statute.",national,politics
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16021/,"If your intention is pure, the universe becomes your co-author", Govt administering vitamin 'A'  to children today and tomorrow,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a",The government is administering vitamin 'A' and deworming medicine to children today and tomorrow.,", animal advocate, and author of ‘",The government has been conducting this program in two phases every year.,national,society
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16022/,"If your intention is pure, the universe becomes your co-author"," Two sexagenarians killed, driver injured in Bajhang tractor mishap",2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a",Two elderly people died on the spot and another sustained critical injuries in a tractor accident that occurred in Bajhang district.,", animal advocate, and author of ‘","The deceased have been identified as 60-year-old Pamale Khati and 62-year-old Jase Khati of Thalara Rural Municipality-2, Kanda, said the District Police Office, Bajhang.",national,society
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16026/,"If your intention is pure, the universe becomes your co-author", Two tourists stranded at Chharka Bherol rescued,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a","Two Nepali visitors who were trapped in snow at Chharka Bherol, located along the Mustang-Dolpa border, were rescued by a helicopter this morning. The operation was conducted by an Air Dynasty helicopter in coordination with the Indrabaks Battalion of the Nepali Army.",", animal advocate, and author of ‘","The rescued are Manish GC from Parbat and Santosh Kunwar from Myagdi. Mustang's Chief District Officer, Bishnu Prasad Bhusal, confirmed that the two were caught in heavy snowfall and rescued this morning. They had started their trip to Upper Mustang on October 26 and had reached Chharka via Sangta village. The rescue took place on the sixth day after they were trapped.",national,society
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16028/,"If your intention is pure, the universe becomes your co-author", Protesters picket EPS branch over two-year delay in South Korea placement,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a","Korea job aspirants, who have passed the language skills examination two years ago, have picketed the Office of the EPS Korea branch over the delay in sending workers to South Korea.",", animal advocate, and author of ‘","The agitators gathered and picketed the EPS Korea branch under the Department of Foreign Employment, located in Gwarko, Lalitpur, this afternoon, demanding that they be sent to Korea at the earliest.",national,society
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16032/,"If your intention is pure, the universe becomes your co-author", President's Qatar visit successful: Foreign Secretary Rai,2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a","President Ramchandra Paudel returned home on Thursday after attending the 'Second World Summit for Social Development' held in Doha, Qatar.",", animal advocate, and author of ‘","Briefing the media persons at VVIP Lounge of Tribhuvan International Airport on President Paudel's visit following his home arrival, Secretary at the Foreign Ministry, Amrit Bahadur Rai, asserted that the President's visit was successful.",national,society
https://kathmandupost.com/art-culture/2025/11/06/if-your-intention-is-pure-the-universe-becomes-your-co-author,https://en.nepalkhabar.com/news/detail/16023/,"If your intention is pure, the universe becomes your co-author"," Baburam, Janardan, Sumana, DP discuss creating alternative political force",2025-11-06,2025-11-06,"’s story is one of transformation. A traveller who has visited over a hundred countries, he once worked as an international cabin crew member. Today, he inspires others as a",Discussions have begun for the formation of an alternative political force under the coordination of former Prime Minister Dr Baburam Bhattarai.,", animal advocate, and author of ‘","Former Prime Minister Bhattarai informed that these discussions have started among new and alternative political parties, groups, and activists.",national,politics
